No.,Expression,Reading,Meaning
5018,狡い,ずるい,"sly, cunning"
5019,寸法,すんぽう,"measurement, size, dimension"
5020,税関,ぜいかん,customs
5021,製作,せいさく,"manufacture, production"
5022,制作,せいさく,"work (e.g., film, book)"
5023,清書,せいしょ,clean copy
5024,青少年,せいしょうねん,"youth, young person"
5025,整数,せいすう,integer
5026,清掃,せいそう,cleaning
5027,生存,せいぞん,"existence, being, survival"
5028,政党,せいとう,(member of) political party
5029,性能,せいのう,"ability, capability"
5030,整備,せいび,"maintenance, overhaul"
5031,成分,せいぶん,"ingredient, component, composition"
5032,性別,せいべつ,"sex, gender"
5033,正方形,せいほうけい,square
5034,正門,せいもん,"main gate, main entrance"
5035,成立,せいりつ,"formation, establishment, completion"
5036,西暦,せいれき,"Christian Era, after (Christ’s) death (A.D.)"
5037,背負う,せおう,to be burdened with; to carry on (one's) back or shoulder(s)
5038,～席,～せき,counter for seats
5039,赤道,せきどう,equator
5040,折角,せっかく,"with trouble, at great pains, long-awaited"
5041,接近,せっきん,"getting closer, drawing nearer, approaching"
5042,接する,せっする,to attend to (someone); to associate with
5043,せっせと,せっせと,"busily, away"
5044,接続,せつぞく,"connection, union, join, link; changing trains"
5045,瀬戸物,せともの,"earthenware, crockery, china"
5046,ぜひとも,ぜひとも,by all means (with sense of not taking 'no' for an answer)
5047,迫る,せまる,"to draw near, to press"
5048,ゼミ,ゼミ,seminar
5049,せめて,せめて,at least
5050,セメント,セメント,cement
5051,台詞,せりふ,"speech, words, one's lines, remarks"
5052,栓,せん,"stopper, cork, stopcock"
5053,～船,～せん,counter for ships
5054,～戦,～せん,"counter for games, matches"
5055,前～,ぜん～,"former, late ~, past ~"
5056,～前,～ぜん,before ~
5057,前後,ぜんご,"front and back, before and after"
5058,全集,ぜんしゅう,complete works
5059,扇子,せんす,folding fan
5060,専制,せんせい,"despotism, autocracy"
5061,先々月,せんせんげつ,month before last
5062,先々週,せんせんしゅう,2 weeks before
5063,先祖,せんぞ,ancestor
5064,先端,せんたん,"pointed end, tip"
5065,センチ,センチ,centimeter
5066,先頭,せんとう,"head, lead, vanguard"
5067,全般,ぜんぱん,"(the) whole, general"
5068,扇風機,せんぷうき,electric fan
5069,洗面,せんめん,"wash up (one's face), have a wash"
5070,全力,ぜんりょく,"all one's power, whole energy"
5071,線路,せんろ,"line, track, roadbed"
5072,～沿い,～そい,along
5073,総～,そう～,"gross, general, entire"
5074,～艘,～そう,counter for ships
5075,相違,そうい,"difference, discrepancy, variation"
5076,そういえば,そういえば,which reminds me ..
5077,雑巾,ぞうきん,"house-cloth, dust cloth"
5078,増減,ぞうげん,"increase and decrease, fluctuation"
5079,倉庫,そうこ,"storehouse, warehouse"
5080,相互,そうご,"mutual, reciprocal"
5081,創作,そうさく,"production, creation, work"
5082,葬式,そうしき,funeral
5083,造船,ぞうせん,shipbuilding
5084,騒々しい,そうぞうしい,"noisy, boisterous"
5085,増大,ぞうだい,"increase, growth"
5086,そうっと,そうっと,"softly, cautiously, gently"
5087,送別,そうべつ,"farewell, send-off"
5088,草履,ぞうり,Japanese sandals (footwear)
5089,総理大臣,そうりだいじん,Prime Minister
5090,送料,そうりょう,"postage, carriage"
5091,～足,～そく,counter for shoes
5092,属する,ぞくする,"to belong to, to come under"
5093,続々,ぞくぞく,"successively, one after another"
5094,速達,そくたつ,"express, special delivery"
5095,測定,そくてい,measurement
5096,測量,そくりょう,"measurement, surveying"
5097,速力,そくりょく,speed
5098,素質,そしつ,"talent, capability"
5099,祖先,そせん,ancestor(s)
5100,そそっかしい,そそっかしい,"careless, thoughtless"
5101,卒直,そっちょく,"frank, candid, honest"
5102,そのころ,そのころ,"in those days, at that time, then"
5103,そのため,そのため,"hence, for that reason"
5104,その他,そのほか,besides
5105,剃る,そる,to shave
5106,それなのに,それなのに,"though, although"
5107,それなら,それなら,"If that's the case..., If so..., That being the case..."
5108,それはいけませんね (かん),それはいけませんね (かん),that's not good
5109,逸れる,それる,"to stray (turn) from subject, to go astray"
5110,算盤,そろばん,abacus
5111,存じる,ぞんじる,(humble) to know
5112,存ずる,ぞんずる,(humble) to know
5113,損得,そんとく,"loss and gain, advantage and disadvantage"
5114,田ぼ,たんぼ,"paddy field, farm"
5115,第～,だい～,~th
5116,だいいち (とりわけ),だいいち (とりわけ),"first, foremost,&nbsp;&nbsp;#1"
5117,大学院,だいがくいん,graduate school
5118,大工,だいく,carpenter
5119,体系,たいけい,"system, organization"
5120,太鼓,たいこ,"drum, tambourine"
5121,対策,たいさく,"counter-plan, counter-measure"
5122,大して,たいして,"(not so) much, (not) very"
5123,大小,だいしょう,size
5124,体制,たいせい,"order, system, structure"
5125,体積,たいせき,"capacity, volume"
5126,大層,たいそう,"very much, greatly"
5127,体操,たいそう,"gymnastics, physical exercises, calisthenics"
5128,大分,だいぶん,"considerably, greatly, a lot"
5129,大木,たいぼく,large tree
5130,代名詞,だいめいし,pronoun
5131,タイア,タイア,"tire, tyre"
5132,ダイヤグラム,ダイヤグラム,diagram
5133,ダイヤモンド,ダイヤモンド,diamond
5134,ダイヤル,ダイヤル,dial
5135,対立,たいりつ,"confrontation, opposition, antagonism"
5136,田植え,たうえ,rice planting
5137,絶えず,たえず,constantly
5138,楕円,だえん,ellipse
5139,耕す,たがやす,"to till, to plow, to cultivate"
5140,滝,たき,waterfall
5141,蓄える,たくわえる,"to save, to store, to lay in stock"
5142,竹,たけ,bamboo
5143,ただいま,ただいま,"Here I am, I'm home!"
5144,但し,ただし,"but, however, provided that"
5145,立ち止まる,たちどまる,"to stop, to halt, to stand still"
5146,たちまち,たちまち,"instantly, suddenly, all at once"
5147,発,はつ,"to depart (e.g., on a plane, train)"
5148,脱線,だっせん,"derailment, digression"
5149,妥当,だとう,"proper, appropriate"
5150,例える,たとえる,"to compare, to liken"
5151,頼もしい,たのもしい,"reliable, promising"
5152,ダブル,ダブル,double
5153,ダム,ダム,dam
5154,溜息,ためいき,a sigh
5155,ためらう,ためらう,to be hesitant
5156,～だらけ,～だらけ,"be full of ~, be filled with ~"
5157,だらしない,だらしない,"slovenly, loose, a slut"
5158,足る,たる,"to be sufficient, to be enough"
5159,短～,たん～,short ~
5160,～団,～だん,"group, corps, party"
5161,オーケストラ,オーケストラ,orchestra
5162,おおざっぱ,おおざっぱ,"rough (not precise), broad, sketchy"
5163,大通り,おおどおり,main street
5164,オートメーション,オートメーション,automation
5165,大凡,おおよそ,"about, approximately"
5166,お帰り,おかえり,"return, welcome"
5167,おかけください,おかけください,please sit down
5168,おかげさまで,おかげさまで,"Thanks to god, thanks to you"
5169,おかず,おかず,"side dish, accompaniment for rice dishes"
5170,おかまいなく,おかまいなく,please don't fuss over me
5171,拝む,おがむ,"to worship, to pray"
5172,お代わり,おかわり,"second helping, another cup"
5173,補う,おぎなう,to compensate for
5174,お気の毒に,おきのどくに,I'm sorry to hear that…
5175,屋外,おくがい,outdoors
5176,送り仮名,おくりがな,part of word written in kana
5177,お元気で,おげんきで,Take care'
5178,怠る,おこたる,"to neglect, to fail"
5179,お先に,おさきに,"before, after you"
5180,伯父,おじ,(humble) uncle (older than one's parent)
5181,叔父,おじ,uncle (younger than one's parent)
5182,惜しい,おしい,"regrettable, disappointing"
5183,伯父さん,おじさん,"(hon.) middle-aged gentleman, uncle"
5184,小父さん,おじさん,"(hon.) middle-aged gentleman, uncle"
5185,叔父さん,おじさん,"(hon.) middle-aged gentleman, uncle"
5186,お邪魔します,おじゃまします,Excuse me for disturbing you
5187,お世話になりました,おせわになりました,I've been in your care
5188,お大事に,おだいじに,"Take care of yourself, Take care!, Get well soon"
5189,落着く,おちつく,"to calm down, to settle down"
5190,お出掛け,おでかけ,outing
5191,お手伝いさん,おてつだいさん,maid
5192,脅かす,おどかす,"to threaten, to coerce"
5193,落し物,おとしもの,lost property
5194,驚かす,おどろかす,"to surprise, to frighten"
5195,お願いします,おねがいします,"Please (lit., I request)"
5196,各々,おのおの,"each, every, either"
5197,伯母,おば,(humble) aunt (older than one's parent)
5198,叔母,おば,aunt (younger than one's parent)
5199,小母さん,おばさん,"lady, woman, ma'am"
5200,おはよう,おはよう,(abbr.) Good morning
5201,お参り,おまいり,"worship, shrine visit"
5202,お待たせしました,おまたせしました,Sorry to have kept you waiting
5203,お待ちください,おまちください,Please wait a moment
5204,おまちどおさま,おまちどおさま,Sorry to have kept you waiting
5205,おめでたい,おめでたい,"happy event, matter for congratulation"
5206,思い掛けない,おもいがけない,"unexpected, casual"
5207,思い切り,おもいきり,"with all one's strength (heart), resignation, resolution"
5208,思い込む,おもいこむ,"to be under impression that, to be convinced that"
5209,思いっ切り,おもいっきり,"very, much, fully"
5210,重たい,おもたい,"heavy, massive, serious"
5211,お休み,おやすみ,"holiday, absence; (exp.) Good night"
5212,おやつ,おやつ,"between meal snack, afternoon refreshment"
5213,親指,おやゆび,thumb
5214,オルガン,オルガン,organ
5215,恩恵,おんけい,"blessing, benefit"
5216,温室,おんしつ,greenhouse
5217,温泉,おんせん,"spa, hot spring"
5218,温帯,おんたい,temperate zone
5219,御中,おんちゅう,Messrs.
5220,女の人,おんなのひと,woman
5221,～日,～か,counter for days
5222,～下,～か,under ~
5223,～化,～か,action of making something
5224,～科,～か,"family, group, course"
5225,～歌,～か,song of ~
5226,～画,～が,"picture, painting"
5227,カーブ,カーブ,curve; curve ball (baseball)
5228,外～,がい～,"foreign ~, outside ~"
5229,～外,～がい,out of ~
5230,開会,かいかい,opening of a meeting
5231,会館,かいかん,"meeting hall, assembly hall"
5232,改札,かいさつ,examination of tickets
5233,解散,かいさん,"breakup, dissolution"
5234,海水浴,かいすいよく,"sea bathing, seawater bath"
5235,回数,かいすう,"number of times, frequency"
5236,回数券,かいすうけん,book of tickets
5237,改正,かいせい,"revision, amendment, alteration"
5238,快晴,かいせい,good weather
5239,解説,かいせつ,"explanation, commentary"
5240,改造,かいぞう,remodeling
5241,開通,かいつう,"opening, open"
5242,回転,かいてん,"rotation, turning"
5243,解答,かいとう,"answer, solution"
5244,回答,かいとう,"reply, answer"
5245,外部,がいぶ,"the outside, external"
5246,解放,かいほう,"release, liberation, emancipation"
5247,開放,かいほう,"open, throw open, liberalization"
5248,海洋,かいよう,ocean
5249,概論,がいろん,"introduction, general remark"
5250,却って,かえって,"on the contrary, rather"
5251,家屋,かおく,"house, building"
5252,係わる,かかわる,"to concern oneself in, to be involved in"
5253,書留,かきとめ,registered mail
5254,書取,かきとり,dictation
5255,垣根,かきね,hedge
5256,限り,かぎり,"limit(s), as far as possible"
5257,各～,かく～,"every ~, each ~"
5258,架空,かくう,"imaginary, fiction, fanciful"
5259,各自,かくじ,"individual, each"
5260,拡充,かくじゅう,expansion
5261,学術,がくじゅつ,"science, learning, scholarship"
5262,各地,かくち,various parts of the country
5263,拡張,かくちょう,"expansion, extension"
5264,角度,かくど,angle
5265,学年,がくねん,"year in school, grade in school"
5266,格別,かくべつ,exceptional
5267,確率,かくりつ,probability
5268,学力,がくりょく,"scholarship, knowledge"
5269,掛け算,かけざん,multiplication
5270,可決,かけつ,"approval, adoption (e.g., motion, bill), passage"
5271,火口,かこう,crater (of a volcano)
5272,下降,かこう,"decline, descent, fall"
5273,火山,かざん,volcano
5274,かしこまりました,かしこまりました,Certainly
5275,貸し出し,かしだし,"lending, loaning"
5276,過失,かしつ,"error, mistake, negligence"
5277,果実,かじつ,fruit
5278,貸間,かしま,room to let
5279,貸家,かしや,house for rent
5280,箇所,かしょ,"place, point, part"
5281,過剰,かじょう,"excess, over-"
5282,かじる,かじる,"to chew, to bite (at)"
5283,課税,かぜい,taxation
5284,下線,かせん,"underline, underscore"
5285,カセット,カセット,cassette (tape)
5286,加速,かそく,acceleration
5287,加速度,かそくど,acceleration
