Expression,Meaning
溶かす,"to melt, to dissolve"
尖る,"to taper to a point, to become sharp"
どきどき,"throb, beat (fast)"
特殊,"special, unique"
特色,"characteristic, feature"
特定,"specific, special, particular"
特売,special sale
溶け込む,to melt into; to become a part of
退ける,"to dislodge, to put something out of the way"
床の間,alcove
～ところ,about to do ~
所々,"here and there, some parts (of something)"
都心,heart (of city)
戸棚,"cupboard, cabinet"
とっくに,"long ago, already, a long time ago"
どっと,suddenly
整う,"to be prepared, to be in order, to be arranged"
留まる,"to be fixed; to abide, to stay (in the one place)"
怒鳴る,"to shout, to yell"
殿,Mister (mostly in addressing someone on an envelope)
飛び込む,"to jump in, to leap in, to plunge into"
留まる,"to be fixed; to abide, to stay (in the one place)"
ともかく,"anyhow, at any rate, anyway"
捕える,"to seize, to capture, to arrest"
取り入れる,"to harvest, to take in, to adopt"
取り消す,to cancel
取り出す,"to take out, to pick out"
採る,"to adopt (measure, proposal); to pick (fruit)"
捕る,"to take, to catch (fish)"
丼,"porcelain bowl, bowl of rice with food on top"
～内,inside ~
内科,"internist clinic, internal medicine"
内線,phone extension
ナイロン,nylon
長～,long ~
仲直り,"reconciliation, make peace with"
長引く,"to be prolonged, to drag on"
中指,middle finger
仲良し,"intimate friend, bosom buddy"
慰める,"to comfort, to console"
為す,"to accomplish, to do"
謎謎,riddle
傾らか,"gradual, gentle"
懐かしい,"dear, desired, missed"
撫でる,"to brush gently, to stroke"
斜め,"diagonal, oblique"
なにしろ,"at any rate, in any case"
何々,"such and such, What?"
何分,"by all means, please"
生意気,"impertinent, impudent"
並木,"roadside tree, row of trees"
倣う,"to imitate, to follow, to emulate"
南極,"south pole, Antarctic"
なんとなく,"somehow or other, for some reason or another"
なんとも,"nothing (with neg. verb), quite, not a bit"
ナンバー,number
南米,South America
南北,south and north
匂う,"to be fragrant, to smell"
逃がす,"to let loose, to set free, to let escape"
憎い,"hateful, abominable, detestable"
～難い,hard (difficult) to do ~
憎む,"to hate, to detest"
憎らしい,"odious, hateful"
にこにこ,"smile sweetly, smiley"
濁る,"to become muddy, to get cloudy"
虹,rainbow
日時,date and time
日用品,daily necessities
日課,"daily work, daily routine"
日程,schedule
鈍い,"dull (e.g., a knife), thickheaded, slow (opposite of fast), stupid"
入社,entry to a company
女房,wife
睨む,"to glare at, to stare; to keep an eye on"
俄,"sudden, abrupt, unexpected"
縫う,to sew
ねじ,(a) screw
捩る,to twist
ネックレス,necklace
熱する,to heat
寝間着,"sleep-wear, pajamas"
寝巻,"sleep-wear, pajamas"
狙い,aim
狙う,to aim at
～年生,counter for school year
年度,"year, fiscal year"
農産物,agricultural produce
農村,agricultural community
濃度,"concentration, density"
農薬,agricultural chemicals
能率,efficiency
のこぎり,saw
残らず,"completely, without exception"
上り,"up-train (going to Tokyo), ascent"
糊,"glue, paste, starch"
乗換,"a transfer (e.g., trains, buses)"
乗り越し,riding past (one's station)
鈍い,"dull (e.g., a knife), slow (opposite of fast), stupid"
のろのろ,"slowly, sluggishly"
呑気,"carefree, optimistic, careless"
はい (かん),yes
灰色,"grey, ashen"
俳句,haiku poetry
売店,"shop, stand"
バイバイ,bye bye
売買,"trade, buying and selling"
這う,"to creep, to crawl"
剥す,"to tear off, to peel off, to rip off"
ばからしい,absurd
秤,"scales, weighing machine"
吐き気,"nausea, sickness in the stomach"
はきはき,clearly
～泊,"counter for staying (e.g., 2 nights)"
歯車,"gear, cog-wheel"
バケツ,"bucket, pail"
挟まる,"to get between, to be caught in"
挟む,to pinch; to hold between; to insert
梯子,"ladder, stairs"
始めに,"to begin with, first of all"
初めに,"to begin with, first of all"
はじめまして,"How do you do, I am glad to meet you"
斜,diagonal
パターン,pattern
肌着,underwear
果して,"as was expected, really"
鉢,"a bowl, a pot"
～発,counter for bullets
×,cross
発揮,"exhibition, demonstration, display"
バック,back
発想,idea; way of thinking (same as 考え方 (かんがえかた))
発電,"generation (e.g., power)"
発売,sale
話合い,"discussion, talk"
話し掛ける,"to accost a person, to talk (to someone)"
話中,"while talking, the line is busy"
甚だしい,"extreme, excessive, terrible"
花火,fireworks
花嫁,bride
ばね,"spring (e.g., coil, leaf)"
跳ねる,"to jump, to leap"
破片,"fragment, broken piece"
歯磨き,"toothbrushing, toothpaste"
はめる,"(col) to get in, to insert, to put on"
早口,fast-talking
払い込む,"to deposit, to pay in"
払い戻す,"to repay, to pay back"
針金,wire
張り切る,"to be in high spirits, to be full of vigor"
反～,"anti ~, counter ~"
反映,"reflection, influence"
半径,radius
判子,seal (used for signature)
万歳,"banzai, Long live ~!"
判事,"judge, justice"
番地,"house number, address"
パンツ,underpants
バンド,band
半島,peninsula
ハンドル,"handle, steering wheel"
～番目,~th
非～,"anti~, counter~, an~, non~"
～費,cost of ~
日当たり,"exposure to the sun, sunny place"
日帰り,day trip
比較的,comparatively; relatively
日陰,shadow
ぴかぴか,"glitter, sparkle"
引受る,"to undertake, to take up, to take over"
引き返す,"to turn back, to go back, reverse"
引算,subtraction
引き出す,"to pull out, to take out, to withdraw"
引き止める,"to keep back, to prevent, to hold back"
卑怯,"cowardice, meanness, unfairness"
引分け,"a draw (in competition), tie game"
陽射,"sunlight, rays of the sun"
肘,elbow
ピストル,pistol
ビタミン,vitamin
ぴたり,exactly; close-fitting
引っ掛かる,"to be caught in, to be stuck in"
筆記,"note taking, writing"
引っ繰り返す,"to turn over, to overturn, to knock over"
引っ繰り返る,"to be overturned, to be upset, to topple over, to be reversed"
引っ込む,"to draw back, to sink, to cave in"
筆者,"writer, author"
必需品,"necessities, essential"
一～,one ~
人差指,index finger
一通り,"general, briefly"
人通り,pedestrian traffic
ひとまず,"for the present, once, for the time being"
瞳,pupil (of eye)
一休み,a rest
独り言,"a soliloquy, a monologue, speaking to oneself"
ひとりでに,"by itself, automatically, naturally"
ビニール,vinyl
皮肉,"cynicism, sarcasm"
日日,date
捻る,"to twist, to turn"
日の入り,sunset
日の出,sunrise
響き,"echo, sound"
響く,to resound; to affect
皮膚,skin
ひゃっかじてん,encyclopedia
美容,beauty of figure or form
～病,kind of disease
表紙,"front cover, binding"
標識,"sign, mark"
標準,"standard, level"
標本,"example, specimen"
評論,"criticism, critique"
ビルディング,building
昼寝,"nap (at home), siesta"
広さ,extent
広場,plaza
広々,"extensive, spacious"
ピンク,pink
便箋,"writing paper, stationery"
瓶詰,"bottling, bottled"
～部,~ part
ファスナー,"fastener, zipper"
～風,~ style
風船,balloon
不運,"unlucky, misfortune, bad luck"
不規則,"irregularity, unsteadiness"
普及,"diffusion, spread"
付近,"neighborhood, vicinity"
副～,vice ~
副詞,adverb
複写,"copy, duplicate"
複数,"plural, multiple"
膨らます,"to swell, to expand, to inflate"
膨らむ,"to expand, to swell (out), to become inflated"
不潔,"unclean, dirty"
更ける,"to get late, to wear on"
符号,"sign, mark, symbol"
夫妻,"man and wife, married couple"
塞がる,"to be plugged up, to be shut up"
塞ぐ,"to stuff, to close up, to block (up)"
ふざける,"to romp, to gambol, to frolic"
無沙汰,neglecting to stay in contact
武士,"warrior, samurai"
部首,radical (of a kanji character)
襖,sliding screen
附属,"attached, belonging, affiliated"
蓋,"cover, lid, cap"
物騒,"dangerous, disturbed, insecure"
ぶつぶつ,"grumbling, complaining in a small voice"
船便,surface mail (ship)
部品,"parts, accessories"
吹雪,snow storm
父母,"father and mother, parents"
踏切,"railway crossing, level crossing, starting line, scratch, crossover"
麓,"the foot, the bottom, the base (of a mountain)"
フライパン,"fry pan, frying pan"
ブラウス,blouse
ぶらさげる,"to hang, to suspend, to swing"
ブラシ,brush
プラットホーム,platform
～振り,after an interval of ~
フリー,free
振り仮名,pronunciation key
振り向く,"to turn one's face, to turn around"
プリント,"print, handout"
古～,old ~
故郷,"home town, birthplace"
古里,"home town, birthplace"
振舞う,"to behave, to conduct"
ブローチ,brooch
プログラム,program
風呂敷,"wrapping cloth, cloth wrapper"
ふわふわ,"light, soft"
噴火,eruption
分解,"analysis, disassembly"
文芸,"literature, art and literature"
文献,"literature, books (reference)"
噴水,water fountain
分数,fraction (in math)
文体,literary style
分布,distribution
文房具,stationery
文脈,context
分量,"amount, quantity"
分類,classification
閉会,closure
平気,"coolness, calmness, unconcern"
並行,"(going) side by side, concurrent, at the same time"
平日,weekday
兵隊,soldier
平凡,"common, ordinary"
平野,"plain, open field"
凹む,"to be dented, to be indented"
へそ,"navel, belly-button"
隔てる,to be shut out
別荘,villa; vacation home; summer cottage
別々,"separately, individually"
ベテラン,veteran
ヘリコプター,helicopter
～遍,time
～弁,"speech, dialect"
編集,"editing, compilation, editorial (e.g., committee)"
便所,"toilet, lavatory"
ペンチ,pliers (lit: pinchers)
～歩,"step, pace"
～ぽい,~ish
～ほう (ひかく),(in comparison)
防～,~ prevention
望遠鏡,telescope
方角,"direction, way"
箒,broom
方言,dialect
坊さん,"Buddhist priest, monk"
防止,"prevention, check"
方針,"objective, plan, policy"
法則,"law, rule"
包帯,bandage
膨大,"enormous, extensive"
包丁,"kitchen knife, carving knife"
方程式,equation
防犯,prevention of crime
方面,direction; area
坊や,boy
放る,to let go
ボーナス,bonus
朗らか,"bright, cheerful, melodious"
牧場,farm (livestock); pasture land
牧畜,stock-farming
保健,"health preservation, hygiene, sanitation"
募集,recruitment
干す,"to air, to dry, to drink up"
ポスター,poster
北極,North Pole
坊っちゃん,son (of others)
解く,to unfasten
掘る,"to dig, to excavate"
彫る,"to carve, to chisel"
ぼろ,"rag, tattered clothes"
盆,Festival of the Dead; tray
盆地,"basin (e.g., between mountains)"
ほんの～,"mere, just"
本部,headquarters
本来,"essentially, naturally, by nature"
まあまあ,okay; so-so; decent
毎～,every ~
枚数,the number of flat things
毎度,"each time, common service-sector greeting"
枕,pillow
曲げる,"to bend, to crook, to lean"
まごまご,"confused, be at a loss"
摩擦,friction; rubbing; chafe
マスク,mask
またぐ,to straddle
